"year","doy","hour","swc","soiltype"
2011,1,0,0.394825537558435,7
2011,1,1,0.392656551870003,7
2011,1,2,0.392656551870003,7
2011,1,3,0.392656551870003,7
2011,1,4,0.39081484832917,7
2011,1,5,0.39081484832917,7
2011,1,6,0.39081484832917,7
2011,1,7,0.3886187653834,7
2011,1,8,0.3886187653834,7
2011,1,9,0.3886187653834,7
2011,1,10,0.386821545408918,7
2011,1,11,0.386821545408918,7
2011,1,12,0.386821545408918,7
2011,1,13,0.385518811120672,7
2011,1,14,0.385518811120672,7
2011,1,15,0.385518811120672,7
2011,1,16,0.382718696784329,7
2011,1,17,0.382718696784329,7
2011,1,18,0.382718696784329,7
2011,1,19,0.379152673508874,7
2011,1,20,0.379152673508874,7
2011,1,21,0.379152673508874,7
2011,1,22,0.376622716294929,7
2011,1,23,0.376622716294929,7
2011,2,0,0.376622716294929,7
2011,2,1,0.374402464566418,7
2011,2,2,0.374402464566418,7
2011,2,3,0.374402464566418,7
2011,2,4,0.372351420471279,7
2011,2,5,0.372351420471279,7
2011,2,6,0.372351420471279,7
2011,2,7,0.37026788600183,7
2011,2,8,0.37026788600183,7
2011,2,9,0.37026788600183,7
2011,2,10,0.368869756568204,7
2011,2,11,0.368869756568204,7
2011,2,12,0.368869756568204,7
2011,2,13,0.368332735850227,7
2011,2,14,0.368332735850227,7
2011,2,15,0.368332735850227,7
2011,2,16,0.367352542609036,7
2011,2,17,0.367352542609036,7
2011,2,18,0.367352542609036,7
2011,2,19,0.365293332575121,7
2011,2,20,0.365293332575121,7
2011,2,21,0.365293332575121,7
2011,2,22,0.362654088181279,7
2011,2,23,0.362654088181279,7
2011,3,0,0.362654088181279,7
2011,3,1,0.359926134022902,7
2011,3,2,0.359926134022902,7
2011,3,3,0.359926134022902,7
2011,3,4,0.357674713452385,7
2011,3,5,0.357674713452385,7
2011,3,6,0.357674713452385,7
2011,3,7,0.357078248445133,7
2011,3,8,0.357078248445133,7
2011,3,9,0.357078248445133,7
2011,3,10,0.357000151868814,7
2011,3,11,0.357000151868814,7
2011,3,12,0.357000151868814,7
2011,3,13,0.357464199351795,7
2011,3,14,0.357464199351795,7
2011,3,15,0.357464199351795,7
2011,3,16,0.3566236330377,7
2011,3,17,0.3566236330377,7
2011,3,18,0.3566236330377,7
2011,3,19,0.353791691943401,7
2011,3,20,0.353791691943401,7
2011,3,21,0.353791691943401,7
2011,3,22,0.351193138510324,7
2011,3,23,0.351193138510324,7
2011,4,0,0.351193138510324,7
2011,4,1,0.348297813110737,7
2011,4,2,0.348297813110737,7
2011,4,3,0.348297813110737,7
2011,4,4,0.345231509320893,7
2011,4,5,0.345231509320893,7
2011,4,6,0.345231509320893,7
2011,4,7,0.343000951304648,7
2011,4,8,0.343000951304648,7
2011,4,9,0.343000951304648,7
2011,4,10,0.342437599140541,7
2011,4,11,0.342437599140541,7
2011,4,12,0.342437599140541,7
2011,4,13,0.342167528516292,7
2011,4,14,0.342167528516292,7
2011,4,15,0.342167528516292,7
2011,4,16,0.341885546050375,7
2011,4,17,0.341885546050375,7
2011,4,18,0.341885546050375,7
2011,4,19,0.340120657242155,7
2011,4,20,0.340120657242155,7
2011,4,21,0.340120657242155,7
2011,4,22,0.338233414399721,7
2011,4,23,0.338233414399721,7
2011,5,0,0.338233414399721,7
2011,5,1,0.336182611323209,7
2011,5,2,0.336182611323209,7
2011,5,3,0.336182611323209,7
2011,5,4,0.333815223825437,7
2011,5,5,0.333815223825437,7
2011,5,6,0.333815223825437,7
2011,5,7,0.331669560298828,7
2011,5,8,0.331669560298828,7
2011,5,9,0.331669560298828,7
2011,5,10,0.330436171330927,7
2011,5,11,0.330436171330927,7
2011,5,12,0.330436171330927,7
2011,5,13,0.330180449646027,7
2011,5,14,0.330180449646027,7
2011,5,15,0.330180449646027,7
2011,5,16,0.330175786812554,7
2011,5,17,0.330175786812554,7
2011,5,18,0.330175786812554,7
2011,5,19,0.329500419644443,7
2011,5,20,0.329500419644443,7
2011,5,21,0.329500419644443,7
2011,5,22,0.32824609902418,7
2011,5,23,0.32824609902418,7
2011,6,0,0.32824609902418,7
2011,6,1,0.326711880847116,7
2011,6,2,0.326711880847116,7
2011,6,3,0.326711880847116,7
2011,6,4,0.325481133838362,7
2011,6,5,0.325481133838362,7
2011,6,6,0.325481133838362,7
2011,6,7,0.324647108649532,7
2011,6,8,0.324647108649532,7
2011,6,9,0.324647108649532,7
2011,6,10,0.330636213671584,7
2011,6,11,0.330636213671584,7
2011,6,12,0.330636213671584,7
2011,6,13,0.343057584363618,7
2011,6,14,0.343057584363618,7
2011,6,15,0.343057584363618,7
2011,6,16,0.339290612752062,7
2011,6,17,0.339290612752062,7
2011,6,18,0.339290612752062,7
2011,6,19,0.337252415913377,7
2011,6,20,0.337252415913377,7
2011,6,21,0.337252415913377,7
2011,6,22,0.343119807398361,7
2011,6,23,0.343119807398361,7
2011,7,0,0.343119807398361,7
2011,7,1,0.341863620678709,7
2011,7,2,0.341863620678709,7
2011,7,3,0.341863620678709,7
2011,7,4,0.349477636154634,7
2011,7,5,0.349477636154634,7
2011,7,6,0.349477636154634,7
2011,7,7,0.358082951984791,7
2011,7,8,0.358082951984791,7
2011,7,9,0.358082951984791,7
2011,7,10,0.375618066673057,7
2011,7,11,0.375618066673057,7
2011,7,12,0.375618066673057,7
2011,7,13,0.3797378421258,7
2011,7,14,0.3797378421258,7
2011,7,15,0.3797378421258,7
2011,7,16,0.371652906462617,7
2011,7,17,0.371652906462617,7
2011,7,18,0.371652906462617,7
2011,7,19,0.362177744241522,7
2011,7,20,0.362177744241522,7
2011,7,21,0.362177744241522,7
2011,7,22,0.350287894814505,7
2011,7,23,0.350287894814505,7
2011,8,0,0.350287894814505,7
2011,8,1,0.342241182098469,7
2011,8,2,0.342241182098469,7
2011,8,3,0.342241182098469,7
2011,8,4,0.335489246457946,7
2011,8,5,0.335489246457946,7
2011,8,6,0.335489246457946,7
2011,8,7,0.325887900148752,7
2011,8,8,0.325887900148752,7
2011,8,9,0.325887900148752,7
2011,8,10,0.319668414663009,7
2011,8,11,0.319668414663009,7
2011,8,12,0.319668414663009,7
2011,8,13,0.316621578922238,7
2011,8,14,0.316621578922238,7
2011,8,15,0.316621578922238,7
2011,8,16,0.31262564719601,7
2011,8,17,0.31262564719601,7
2011,8,18,0.31262564719601,7
2011,8,19,0.308771473878959,7
2011,8,20,0.308771473878959,7
2011,8,21,0.308771473878959,7
2011,8,22,0.30604999985026,7
2011,8,23,0.30604999985026,7
2011,9,0,0.30604999985026,7
2011,9,1,0.30407699460272,7
2011,9,2,0.30407699460272,7
2011,9,3,0.30407699460272,7
2011,9,4,0.302544381407526,7
2011,9,5,0.302544381407526,7
2011,9,6,0.302544381407526,7
2011,9,7,0.300819145723697,7
2011,9,8,0.300819145723697,7
2011,9,9,0.300819145723697,7
2011,9,10,0.298756973789731,7
2011,9,11,0.298756973789731,7
2011,9,12,0.298756973789731,7
2011,9,13,0.297577122164884,7
2011,9,14,0.297577122164884,7
2011,9,15,0.297577122164884,7
2011,9,16,0.2967420569441,7
2011,9,17,0.2967420569441,7
2011,9,18,0.2967420569441,7
2011,9,19,0.296144917362102,7
2011,9,20,0.296144917362102,7
2011,9,21,0.296144917362102,7
2011,9,22,0.295757287471415,7
2011,9,23,0.295757287471415,7
2011,10,0,0.295757287471415,7
2011,10,1,0.295473371679181,7
2011,10,2,0.295473371679181,7
2011,10,3,0.295473371679181,7
2011,10,4,0.295280801993237,7
2011,10,5,0.295280801993237,7
2011,10,6,0.295280801993237,7
2011,10,7,0.29515107936138,7
2011,10,8,0.29515107936138,7
2011,10,9,0.29515107936138,7
2011,10,10,0.295067765097776,7
2011,10,11,0.295067765097776,7
2011,10,12,0.295067765097776,7
2011,10,13,0.295026869997383,7
2011,10,14,0.295026869997383,7
2011,10,15,0.295026869997383,7
2011,10,16,0.295029855369842,7
2011,10,17,0.295029855369842,7
2011,10,18,0.295029855369842,7
2011,10,19,0.295061866165967,7
2011,10,20,0.295061866165967,7
2011,10,21,0.295061866165967,7
2011,10,22,0.295107004636073,7
2011,10,23,0.295107004636073,7
2011,11,0,0.295107004636073,7
2011,11,1,0.295151900330639,7
2011,11,2,0.295151900330639,7
2011,11,3,0.295151900330639,7
2011,11,4,0.295180119822309,7
2011,11,5,0.295180119822309,7
2011,11,6,0.295180119822309,7
2011,11,7,0.295122065228269,7
2011,11,8,0.295122065228269,7
2011,11,9,0.295122065228269,7
2011,11,10,0.294833240475335,7
2011,11,11,0.294833240475335,7
2011,11,12,0.294833240475335,7
2011,11,13,0.294544160423036,7
2011,11,14,0.294544160423036,7
2011,11,15,0.294544160423036,7
2011,11,16,0.294257336087893,7
2011,11,17,0.294257336087893,7
2011,11,18,0.294257336087893,7
2011,11,19,0.293974361864489,7
2011,11,20,0.293974361864489,7
2011,11,21,0.293974361864489,7
2011,11,22,0.293695509791306,7
2011,11,23,0.293695509791306,7
2011,12,0,0.293695509791306,7
2011,12,1,0.293421241914245,7
2011,12,2,0.293421241914245,7
2011,12,3,0.293421241914245,7
