"year","doy","hour","swc","soiltype"
2002,1,0,0.30875593764382,7
2002,1,1,0.304891732166992,7
2002,1,2,0.304891732166992,7
2002,1,3,0.304891732166992,7
2002,1,4,0.301636193542331,7
2002,1,5,0.301636193542331,7
2002,1,6,0.301636193542331,7
2002,1,7,0.298704958609776,7
2002,1,8,0.298704958609776,7
2002,1,9,0.298704958609776,7
2002,1,10,0.297229880271146,7
2002,1,11,0.297229880271146,7
2002,1,12,0.297229880271146,7
2002,1,13,0.298295712862246,7
2002,1,14,0.298295712862246,7
2002,1,15,0.298295712862246,7
2002,1,16,0.29818985752656,7
2002,1,17,0.29818985752656,7
2002,1,18,0.29818985752656,7
2002,1,19,0.295885412138384,7
2002,1,20,0.295885412138384,7
2002,1,21,0.295885412138384,7
2002,1,22,0.293227467404227,7
2002,1,23,0.293227467404227,7
2002,2,0,0.293227467404227,7
2002,2,1,0.291497130525226,7
2002,2,2,0.291497130525226,7
2002,2,3,0.291497130525226,7
2002,2,4,0.288603257896784,7
2002,2,5,0.288603257896784,7
2002,2,6,0.288603257896784,7
2002,2,7,0.285390459554186,7
2002,2,8,0.285390459554186,7
2002,2,9,0.285390459554186,7
2002,2,10,0.283339959733147,7
2002,2,11,0.283339959733147,7
2002,2,12,0.283339959733147,7
2002,2,13,0.29454632323364,7
2002,2,14,0.29454632323364,7
2002,2,15,0.29454632323364,7
2002,2,16,0.287468116892884,7
2002,2,17,0.287468116892884,7
2002,2,18,0.287468116892884,7
2002,2,19,0.287300344700671,7
2002,2,20,0.287300344700671,7
2002,2,21,0.287300344700671,7
2002,2,22,0.286369476992547,7
2002,2,23,0.286369476992547,7
2002,3,0,0.286369476992547,7
2002,3,1,0.286061380188154,7
2002,3,2,0.286061380188154,7
2002,3,3,0.286061380188154,7
2002,3,4,0.285138951829223,7
2002,3,5,0.285138951829223,7
2002,3,6,0.285138951829223,7
2002,3,7,0.282539194171874,7
2002,3,8,0.282539194171874,7
2002,3,9,0.282539194171874,7
2002,3,10,0.287863069725497,7
2002,3,11,0.287863069725497,7
2002,3,12,0.287863069725497,7
2002,3,13,0.322902035198178,7
2002,3,14,0.322902035198178,7
2002,3,15,0.322902035198178,7
2002,3,16,0.324789582303215,7
2002,3,17,0.324789582303215,7
2002,3,18,0.324789582303215,7
2002,3,19,0.323239717077057,7
2002,3,20,0.323239717077057,7
2002,3,21,0.323239717077057,7
2002,3,22,0.315503044084322,7
2002,3,23,0.315503044084322,7
2002,4,0,0.315503044084322,7
2002,4,1,0.311011480060939,7
2002,4,2,0.311011480060939,7
2002,4,3,0.311011480060939,7
2002,4,4,0.305474978248309,7
2002,4,5,0.305474978248309,7
2002,4,6,0.305474978248309,7
2002,4,7,0.305741761093629,7
2002,4,8,0.305741761093629,7
2002,4,9,0.305741761093629,7
2002,4,10,0.340405310776417,7
2002,4,11,0.340405310776417,7
2002,4,12,0.340405310776417,7
2002,4,13,0.363262655245939,7
2002,4,14,0.363262655245939,7
2002,4,15,0.363262655245939,7
2002,4,16,0.372492219119197,7
2002,4,17,0.372492219119197,7
2002,4,18,0.372492219119197,7
2002,4,19,0.364450986964669,7
