"year","doy","hour","swc","soiltype"
2006,1,0,0.334696824076112,4
2006,1,1,0.334180420063191,4
2006,1,2,0.334180420063191,4
2006,1,3,0.334180420063191,4
2006,1,4,0.333684595707144,4
2006,1,5,0.333684595707144,4
2006,1,6,0.333684595707144,4
2006,1,7,0.333101187472487,4
2006,1,8,0.333101187472487,4
2006,1,9,0.333101187472487,4
2006,1,10,0.332375062724592,4
2006,1,11,0.332375062724592,4
2006,1,12,0.332375062724592,4
2006,1,13,0.331858314361022,4
2006,1,14,0.331858314361022,4
2006,1,15,0.331858314361022,4
2006,1,16,0.33160800041982,4
2006,1,17,0.33160800041982,4
2006,1,18,0.33160800041982,4
2006,1,19,0.331362310937786,4
2006,1,20,0.331362310937786,4
2006,1,21,0.331362310937786,4
2006,1,22,0.331050907076877,4
2006,1,23,0.331050907076877,4
2006,2,0,0.331050907076877,4
2006,2,1,0.331081046456052,4
2006,2,2,0.331081046456052,4
2006,2,3,0.331081046456052,4
2006,2,4,0.333748849604549,4
2006,2,5,0.333748849604549,4
2006,2,6,0.333748849604549,4
2006,2,7,0.338257926912374,4
2006,2,8,0.338257926912374,4
2006,2,9,0.338257926912374,4
2006,2,10,0.336891166322327,4
2006,2,11,0.336891166322327,4
2006,2,12,0.336891166322327,4
2006,2,13,0.336651496892119,4
2006,2,14,0.336651496892119,4
2006,2,15,0.336651496892119,4
2006,2,16,0.335656143653235,4
2006,2,17,0.335656143653235,4
2006,2,18,0.335656143653235,4
2006,2,19,0.334743836153046,4
2006,2,20,0.334743836153046,4
2006,2,21,0.334743836153046,4
2006,2,22,0.334027099589194,4
2006,2,23,0.334027099589194,4
2006,3,0,0.334027099589194,4
2006,3,1,0.333432200444734,4
2006,3,2,0.333432200444734,4
2006,3,3,0.333432200444734,4
2006,3,4,0.332898710380282,4
2006,3,5,0.332898710380282,4
2006,3,6,0.332898710380282,4
2006,3,7,0.332233149144945,4
2006,3,8,0.332233149144945,4
2006,3,9,0.332233149144945,4
2006,3,10,0.331462304744304,4
2006,3,11,0.331462304744304,4
2006,3,12,0.331462304744304,4
2006,3,13,0.33060731000883,4
2006,3,14,0.33060731000883,4
2006,3,15,0.33060731000883,4
2006,3,16,0.330206660193053,4
2006,3,17,0.330206660193053,4
2006,3,18,0.330206660193053,4
2006,3,19,0.329955036303383,4
2006,3,20,0.329955036303383,4
2006,3,21,0.329955036303383,4
2006,3,22,0.329670897468316,4
2006,3,23,0.329670897468316,4
2006,4,0,0.329670897468316,4
2006,4,1,0.329381208870572,4
2006,4,2,0.329381208870572,4
2006,4,3,0.329381208870572,4
2006,4,4,0.329080624260126,4
2006,4,5,0.329080624260126,4
