"year","doy","hour","swc","soiltype"
2010,1,0,0.471712393426794,4
2010,1,1,0.471712222280037,4
2010,1,2,0.471712222280037,4
2010,1,3,0.471712222280037,4
2010,1,4,0.471712712382113,4
2010,1,5,0.471712712382113,4
2010,1,6,0.471712712382113,4
2010,1,7,0.471465957656004,4
2010,1,8,0.471465957656004,4
2010,1,9,0.471465957656004,4
2010,1,10,0.471689521996586,4
2010,1,11,0.471689521996586,4
2010,1,12,0.471689521996586,4
2010,1,13,0.470490996818511,4
2010,1,14,0.470490996818511,4
2010,1,15,0.470490996818511,4
2010,1,16,0.471712720161511,4
2010,1,17,0.471712720161511,4
2010,1,18,0.471712720161511,4
2010,1,19,0.471712720161511,4
2010,1,20,0.471712720161511,4
2010,1,21,0.471712720161511,4
2010,1,22,0.471712720161511,4
2010,1,23,0.471712720161511,4
2010,2,0,0.471712720161511,4
2010,2,1,0.471712720161511,4
2010,2,2,0.471712720161511,4
2010,2,3,0.471712720161511,4
2010,2,4,0.471712720161511,4
2010,2,5,0.471712720161511,4
2010,2,6,0.471712720161511,4
2010,2,7,0.467815985486046,4
2010,2,8,0.467815985486046,4
2010,2,9,0.467815985486046,4
2010,2,10,0.465841660249931,4
2010,2,11,0.465841660249931,4
2010,2,12,0.465841660249931,4
2010,2,13,0.459646854328643,4
2010,2,14,0.459646854328643,4
2010,2,15,0.459646854328643,4
2010,2,16,0.462994856332368,4
2010,2,17,0.462994856332368,4
2010,2,18,0.462994856332368,4
2010,2,19,0.469578730149742,4
2010,2,20,0.469578730149742,4
2010,2,21,0.469578730149742,4
2010,2,22,0.470841676522902,4
2010,2,23,0.470841676522902,4
2010,3,0,0.470841676522902,4
2010,3,1,0.471716322022799,4
2010,3,2,0.471716322022799,4
2010,3,3,0.471716322022799,4
2010,3,4,0.471712689043919,4
2010,3,5,0.471712689043919,4
2010,3,6,0.471712689043919,4
2010,3,7,0.471706177687768,4
2010,3,8,0.471706177687768,4
2010,3,9,0.471706177687768,4
2010,3,10,0.471694368561559,4
2010,3,11,0.471694368561559,4
2010,3,12,0.471694368561559,4
2010,3,13,0.469039004202593,4
2010,3,14,0.469039004202593,4
2010,3,15,0.469039004202593,4
2010,3,16,0.46619465927763,4
2010,3,17,0.46619465927763,4
2010,3,18,0.46619465927763,4
2010,3,19,0.471743619930486,4
2010,3,20,0.471743619930486,4
2010,3,21,0.471743619930486,4
2010,3,22,0.471634965078203,4
2010,3,23,0.471634965078203,4
2010,4,0,0.471634965078203,4
2010,4,1,0.466520624786569,4
2010,4,2,0.466520624786569,4
2010,4,3,0.466520624786569,4
2010,4,4,0.468225656629143,4
