"year","doy","hour","swc","soiltype"
2010,1,0,0.372396528377856,4
2010,1,1,0.372396528377856,4
2010,1,2,0.371299209352916,4
2010,1,3,0.371299209352916,4
2010,1,4,0.371299209352916,4
2010,1,5,0.369918221585432,4
2010,1,6,0.369918221585432,4
2010,1,7,0.369918221585432,4
2010,1,8,0.359623086885415,4
2010,1,9,0.359623086885415,4
2010,1,10,0.359623086885415,4
2010,1,11,0.36699672644337,4
2010,1,12,0.36699672644337,4
2010,1,13,0.36699672644337,4
2010,1,14,0.365781847000892,4
2010,1,15,0.365781847000892,4
2010,1,16,0.365781847000892,4
2010,1,17,0.365337254505687,4
2010,1,18,0.365337254505687,4
2010,1,19,0.365337254505687,4
2010,1,20,0.365008419067493,4
2010,1,21,0.365008419067493,4
2010,1,22,0.365008419067493,4
2010,1,23,0.364480207113603,4
2010,2,0,0.364480207113603,4
2010,2,1,0.364480207113603,4
2010,2,2,0.359886090184968,4
2010,2,3,0.359886090184968,4
2010,2,4,0.359886090184968,4
2010,2,5,0.352625310576703,4
2010,2,6,0.352625310576703,4
2010,2,7,0.352625310576703,4
2010,2,8,0.320807428223302,4
2010,2,9,0.320807428223302,4
2010,2,10,0.320807428223302,4
2010,2,11,0.33263935533521,4
2010,2,12,0.33263935533521,4
2010,2,13,0.33263935533521,4
2010,2,14,0.345437597768989,4
2010,2,15,0.345437597768989,4
2010,2,16,0.345437597768989,4
2010,2,17,0.329903444132005,4
2010,2,18,0.329903444132005,4
2010,2,19,0.329903444132005,4
2010,2,20,0.324879181056009,4
2010,2,21,0.324879181056009,4
2010,2,22,0.324879181056009,4
2010,2,23,0.319765582233168,4
2010,3,0,0.319765582233168,4
2010,3,1,0.319765582233168,4
2010,3,2,0.314474497044726,4
2010,3,3,0.314474497044726,4
2010,3,4,0.314474497044726,4
2010,3,5,0.309074576680547,4
2010,3,6,0.309074576680547,4
2010,3,7,0.309074576680547,4
2010,3,8,0.294854273062307,4
2010,3,9,0.294854273062307,4
2010,3,10,0.294854273062307,4
2010,3,11,0.306176709729562,4
2010,3,12,0.306176709729562,4
2010,3,13,0.306176709729562,4
2010,3,14,0.314865376000552,4
2010,3,15,0.314865376000552,4
2010,3,16,0.314865376000552,4
2010,3,17,0.303104003808296,4
2010,3,18,0.303104003808296,4
2010,3,19,0.303104003808296,4
2010,3,20,0.300871621281067,4
2010,3,21,0.300871621281067,4
2010,3,22,0.300871621281067,4
2010,3,23,0.298492953053645,4
2010,4,0,0.298492953053645,4
2010,4,1,0.298492953053645,4
2010,4,2,0.295314689918091,4
2010,4,3,0.295314689918091,4
2010,4,4,0.295314689918091,4
2010,4,5,0.29195633359766,4
2010,4,6,0.29195633359766,4
2010,4,7,0.29195633359766,4
2010,4,8,0.279035390139435,4
2010,4,9,0.279035390139435,4
2010,4,10,0.279035390139435,4
2010,4,11,0.288486231954947,4
2010,4,12,0.288486231954947,4
2010,4,13,0.288486231954947,4
2010,4,14,0.306952717827466,4
2010,4,15,0.306952717827466,4
2010,4,16,0.306952717827466,4
2010,4,17,0.295559923080479,4
2010,4,18,0.295559923080479,4
2010,4,19,0.295559923080479,4
2010,4,20,0.294557589739242,4
2010,4,21,0.294557589739242,4
2010,4,22,0.294557589739242,4
2010,4,23,0.293344063271378,4
2010,5,0,0.293344063271378,4
2010,5,1,0.293344063271378,4
2010,5,2,0.291844698390483,4
2010,5,3,0.291844698390483,4
2010,5,4,0.291844698390483,4
2010,5,5,0.289729769867184,4
2010,5,6,0.289729769867184,4
2010,5,7,0.289729769867184,4
2010,5,8,0.27824825911405,4
2010,5,9,0.27824825911405,4
2010,5,10,0.27824825911405,4
2010,5,11,0.28308978032728,4
2010,5,12,0.28308978032728,4
2010,5,13,0.28308978032728,4
2010,5,14,0.295562048473777,4
2010,5,15,0.295562048473777,4
2010,5,16,0.295562048473777,4
2010,5,17,0.288198555240801,4
2010,5,18,0.288198555240801,4
2010,5,19,0.288198555240801,4
2010,5,20,0.28825097806263,4
2010,5,21,0.28825097806263,4
2010,5,22,0.28825097806263,4
2010,5,23,0.28789182635796,4
2010,6,0,0.28789182635796,4
2010,6,1,0.28789182635796,4
2010,6,2,0.287037183272808,4
2010,6,3,0.287037183272808,4
2010,6,4,0.287037183272808,4
2010,6,5,0.285661956400715,4
2010,6,6,0.285661956400715,4
2010,6,7,0.285661956400715,4
2010,6,8,0.277298466387455,4
2010,6,9,0.277298466387455,4
2010,6,10,0.277298466387455,4
2010,6,11,0.28703105111215,4
2010,6,12,0.28703105111215,4
2010,6,13,0.28703105111215,4
2010,6,14,0.308517191454359,4
2010,6,15,0.308517191454359,4
2010,6,16,0.308517191454359,4
2010,6,17,0.298739077112841,4
2010,6,18,0.298739077112841,4
2010,6,19,0.298739077112841,4
2010,6,20,0.290622914506778,4
2010,6,21,0.290622914506778,4
2010,6,22,0.290622914506778,4
2010,6,23,0.287772072359179,4
2010,7,0,0.287772072359179,4
2010,7,1,0.287772072359179,4
2010,7,2,0.287351774409544,4
2010,7,3,0.287351774409544,4
2010,7,4,0.287351774409544,4
2010,7,5,0.287374004596813,4
2010,7,6,0.287374004596813,4
2010,7,7,0.287374004596813,4
2010,7,8,0.284509176635458,4
2010,7,9,0.284509176635458,4
2010,7,10,0.284509176635458,4
2010,7,11,0.297624880822539,4
2010,7,12,0.297624880822539,4
2010,7,13,0.297624880822539,4
2010,7,14,0.308607197723318,4
2010,7,15,0.308607197723318,4
2010,7,16,0.308607197723318,4
2010,7,17,0.30759450367437,4
2010,7,18,0.30759450367437,4
2010,7,19,0.30759450367437,4
2010,7,20,0.299563635754339,4
2010,7,21,0.299563635754339,4
2010,7,22,0.299563635754339,4
2010,7,23,0.288740355388994,4
2010,8,0,0.288740355388994,4
2010,8,1,0.288740355388994,4
2010,8,2,0.279822614678809,4
2010,8,3,0.279822614678809,4
2010,8,4,0.279822614678809,4
2010,8,5,0.271678952105479,4
2010,8,6,0.271678952105479,4
2010,8,7,0.271678952105479,4
2010,8,8,0.258273435810366,4
2010,8,9,0.258273435810366,4
2010,8,10,0.258273435810366,4
2010,8,11,0.254949996897684,4
2010,8,12,0.254949996897684,4
2010,8,13,0.254949996897684,4
2010,8,14,0.25384805796083,4
2010,8,15,0.25384805796083,4
2010,8,16,0.25384805796083,4
2010,8,17,0.251606145093063,4
2010,8,18,0.251606145093063,4
2010,8,19,0.251606145093063,4
2010,8,20,0.250861504935104,4
2010,8,21,0.250861504935104,4
2010,8,22,0.250861504935104,4
2010,8,23,0.250651807810638,4
2010,9,0,0.250651807810638,4
2010,9,1,0.250651807810638,4
2010,9,2,0.249760564577179,4
2010,9,3,0.249760564577179,4
2010,9,4,0.249760564577179,4
2010,9,5,0.248441491452746,4
2010,9,6,0.248441491452746,4
2010,9,7,0.248441491452746,4
2010,9,8,0.245727354532361,4
2010,9,9,0.245727354532361,4
2010,9,10,0.245727354532361,4
2010,9,11,0.243003701425913,4
2010,9,12,0.243003701425913,4
2010,9,13,0.243003701425913,4
2010,9,14,0.241599533381648,4
2010,9,15,0.241599533381648,4
2010,9,16,0.241599533381648,4
2010,9,17,0.239688111668941,4
2010,9,18,0.239688111668941,4
2010,9,19,0.239688111668941,4
2010,9,20,0.238023788658234,4
2010,9,21,0.238023788658234,4
2010,9,22,0.238023788658234,4
2010,9,23,0.236712256974267,4
2010,10,0,0.236712256974267,4
