"year","doy","hour","swc","soiltype"
2008,1,0,0.290173446818671,4
2008,1,1,0.29016405372691,4
2008,1,2,0.29016405372691,4
2008,1,3,0.29016405372691,4
2008,1,4,0.290154682343237,4
2008,1,5,0.290154682343237,4
2008,1,6,0.290154682343237,4
2008,1,7,0.289520746990799,4
2008,1,8,0.289520746990799,4
2008,1,9,0.289520746990799,4
2008,1,10,0.287836007101064,4
2008,1,11,0.287836007101064,4
2008,1,12,0.287836007101064,4
2008,1,13,0.286740648997689,4
2008,1,14,0.286740648997689,4
2008,1,15,0.286740648997689,4
2008,1,16,0.285702042722549,4
2008,1,17,0.285702042722549,4
2008,1,18,0.285702042722549,4
2008,1,19,0.283609327054535,4
2008,1,20,0.283609327054535,4
2008,1,21,0.283609327054535,4
2008,1,22,0.280879759294585,4
2008,1,23,0.280879759294585,4
2008,2,0,0.280879759294585,4
2008,2,1,0.278569842908389,4
2008,2,2,0.278569842908389,4
2008,2,3,0.278569842908389,4
2008,2,4,0.27608909591861,4
2008,2,5,0.27608909591861,4
2008,2,6,0.27608909591861,4
2008,2,7,0.273477786673405,4
2008,2,8,0.273477786673405,4
2008,2,9,0.273477786673405,4
2008,2,10,0.271939128674586,4
2008,2,11,0.271939128674586,4
2008,2,12,0.271939128674586,4
2008,2,13,0.271731495258518,4
2008,2,14,0.271731495258518,4
2008,2,15,0.271731495258518,4
2008,2,16,0.271765330497141,4
2008,2,17,0.271765330497141,4
2008,2,18,0.271765330497141,4
2008,2,19,0.271589614148138,4
2008,2,20,0.271589614148138,4
2008,2,21,0.271589614148138,4
2008,2,22,0.271313805029392,4
2008,2,23,0.271313805029392,4
2008,3,0,0.271313805029392,4
2008,3,1,0.271220693779943,4
2008,3,2,0.271220693779943,4
2008,3,3,0.271220693779943,4
2008,3,4,0.271250060414979,4
2008,3,5,0.271250060414979,4
2008,3,6,0.271250060414979,4
2008,3,7,0.271268868350483,4
2008,3,8,0.271268868350483,4
2008,3,9,0.271268868350483,4
2008,3,10,0.271281897483452,4
2008,3,11,0.271281897483452,4
2008,3,12,0.271281897483452,4
2008,3,13,0.271688954927738,4
2008,3,14,0.271688954927738,4
2008,3,15,0.271688954927738,4
2008,3,16,0.272682036987942,4
2008,3,17,0.272682036987942,4
2008,3,18,0.272682036987942,4
2008,3,19,0.273390027472861,4
2008,3,20,0.273390027472861,4
2008,3,21,0.273390027472861,4
2008,3,22,0.273432216099541,4
2008,3,23,0.273432216099541,4
2008,4,0,0.273432216099541,4
2008,4,1,0.272880382406485,4
2008,4,2,0.272880382406485,4
2008,4,3,0.272880382406485,4
2008,4,4,0.271922385061725,4
2008,4,5,0.271922385061725,4
2008,4,6,0.271922385061725,4
2008,4,7,0.270861743188417,4
2008,4,8,0.270861743188417,4
2008,4,9,0.270861743188417,4
2008,4,10,0.270692374431017,4
2008,4,11,0.270692374431017,4
2008,4,12,0.270692374431017,4
2008,4,13,0.270743924992353,4
2008,4,14,0.270743924992353,4
2008,4,15,0.270743924992353,4
2008,4,16,0.271633986825934,4
2008,4,17,0.271633986825934,4
2008,4,18,0.271633986825934,4
2008,4,19,0.27266747086759,4
2008,4,20,0.27266747086759,4
2008,4,21,0.27266747086759,4
2008,4,22,0.274013332574471,4
2008,4,23,0.274013332574471,4
2008,5,0,0.274013332574471,4
2008,5,1,0.275591757897951,4
2008,5,2,0.275591757897951,4
2008,5,3,0.275591757897951,4
2008,5,4,0.277218576878118,4
2008,5,5,0.277218576878118,4
2008,5,6,0.277218576878118,4
2008,5,7,0.278789867014085,4
2008,5,8,0.278789867014085,4
2008,5,9,0.278789867014085,4
2008,5,10,0.280283081785902,4
2008,5,11,0.280283081785902,4
2008,5,12,0.280283081785902,4
2008,5,13,0.282028063431595,4
2008,5,14,0.282028063431595,4
2008,5,15,0.282028063431595,4
2008,5,16,0.283791661061352,4
2008,5,17,0.283791661061352,4
2008,5,18,0.283791661061352,4
2008,5,19,0.285855827472693,4
2008,5,20,0.285855827472693,4
2008,5,21,0.285855827472693,4
2008,5,22,0.2881257346194,4
2008,5,23,0.2881257346194,4
2008,6,0,0.2881257346194,4
2008,6,1,0.289989075132213,4
2008,6,2,0.289989075132213,4
2008,6,3,0.289989075132213,4
2008,6,4,0.289980026842924,4
2008,6,5,0.289980026842924,4
2008,6,6,0.289980026842924,4
2008,6,7,0.289961109145624,4
2008,6,8,0.289961109145624,4
2008,6,9,0.289961109145624,4
2008,6,10,0.28994152932239,4
2008,6,11,0.28994152932239,4
2008,6,12,0.28994152932239,4
2008,6,13,0.293384425314882,4
2008,6,14,0.293384425314882,4
2008,6,15,0.293384425314882,4
2008,6,16,0.293560393123731,4
2008,6,17,0.293560393123731,4
2008,6,18,0.293560393123731,4
2008,6,19,0.293375412055839,4
2008,6,20,0.293375412055839,4
2008,6,21,0.293375412055839,4
2008,6,22,0.292969868100946,4
2008,6,23,0.292969868100946,4
2008,7,0,0.292969868100946,4
2008,7,1,0.292713589216996,4
2008,7,2,0.292713589216996,4
2008,7,3,0.292713589216996,4
2008,7,4,0.292525155128406,4
2008,7,5,0.292525155128406,4
2008,7,6,0.292525155128406,4
2008,7,7,0.292375976321402,4
2008,7,8,0.292375976321402,4
2008,7,9,0.292375976321402,4
2008,7,10,0.292252632248551,4
2008,7,11,0.292252632248551,4
2008,7,12,0.292252632248551,4
2008,7,13,0.292147654865369,4
2008,7,14,0.292147654865369,4
2008,7,15,0.292147654865369,4
2008,7,16,0.292056430183765,4
2008,7,17,0.292056430183765,4
2008,7,18,0.292056430183765,4
2008,7,19,0.291975743520268,4
2008,7,20,0.291975743520268,4
2008,7,21,0.291975743520268,4
2008,7,22,0.291903385694238,4
2008,7,23,0.291903385694238,4
2008,8,0,0.291903385694238,4
2008,8,1,0.29183775555435,4
2008,8,2,0.29183775555435,4
2008,8,3,0.29183775555435,4
2008,8,4,0.289603189264824,4
2008,8,5,0.289603189264824,4
2008,8,6,0.289603189264824,4
2008,8,7,0.28391559621205,4
2008,8,8,0.28391559621205,4
2008,8,9,0.28391559621205,4
2008,8,10,0.281425403303135,4
2008,8,11,0.281425403303135,4
2008,8,12,0.281425403303135,4
2008,8,13,0.281994763921126,4
2008,8,14,0.281994763921126,4
2008,8,15,0.281994763921126,4
2008,8,16,0.282410255848877,4
2008,8,17,0.282410255848877,4
2008,8,18,0.282410255848877,4
2008,8,19,0.278803416423054,4
2008,8,20,0.278803416423054,4
2008,8,21,0.278803416423054,4
2008,8,22,0.274502143899493,4
2008,8,23,0.274502143899493,4
2008,9,0,0.274502143899493,4
2008,9,1,0.269372823894787,4
2008,9,2,0.269372823894787,4
2008,9,3,0.269372823894787,4
2008,9,4,0.265988346525599,4
2008,9,5,0.265988346525599,4
2008,9,6,0.265988346525599,4
2008,9,7,0.264942181442364,4
2008,9,8,0.264942181442364,4
2008,9,9,0.264942181442364,4
2008,9,10,0.264995931018651,4
2008,9,11,0.264995931018651,4
2008,9,12,0.264995931018651,4
2008,9,13,0.265836919954092,4
2008,9,14,0.265836919954092,4
2008,9,15,0.265836919954092,4
2008,9,16,0.266865628796047,4
2008,9,17,0.266865628796047,4
2008,9,18,0.266865628796047,4
2008,9,19,0.26804843574697,4
2008,9,20,0.26804843574697,4
2008,9,21,0.26804843574697,4
2008,9,22,0.269507044056551,4
2008,9,23,0.269507044056551,4
2008,10,0,0.269507044056551,4
2008,10,1,0.27033480177108,4
2008,10,2,0.27033480177108,4
2008,10,3,0.27033480177108,4
2008,10,4,0.270272436251489,4
2008,10,5,0.270272436251489,4
2008,10,6,0.270272436251489,4
2008,10,7,0.268391799914219,4
2008,10,8,0.268391799914219,4
2008,10,9,0.268391799914219,4
2008,10,10,0.267923208013879,4
2008,10,11,0.267923208013879,4
2008,10,12,0.267923208013879,4
2008,10,13,0.268077349908788,4
2008,10,14,0.268077349908788,4
2008,10,15,0.268077349908788,4
2008,10,16,0.268286299882821,4
2008,10,17,0.268286299882821,4
2008,10,18,0.268286299882821,4
2008,10,19,0.265415322289857,4
2008,10,20,0.265415322289857,4
2008,10,21,0.265415322289857,4
2008,10,22,0.262142238262876,4
2008,10,23,0.262142238262876,4
2008,11,0,0.262142238262876,4
2008,11,1,0.260800245652716,4
2008,11,2,0.260800245652716,4
2008,11,3,0.260800245652716,4
2008,11,4,0.259753453106679,4
2008,11,5,0.259753453106679,4
2008,11,6,0.259753453106679,4
2008,11,7,0.258322916208373,4
2008,11,8,0.258322916208373,4
2008,11,9,0.258322916208373,4
2008,11,10,0.257372293836972,4
2008,11,11,0.257372293836972,4
2008,11,12,0.257372293836972,4
2008,11,13,0.257408197664508,4
2008,11,14,0.257408197664508,4
2008,11,15,0.257408197664508,4
2008,11,16,0.257449428173498,4
2008,11,17,0.257449428173498,4
2008,11,18,0.257449428173498,4
2008,11,19,0.257463469805132,4
2008,11,20,0.257463469805132,4
2008,11,21,0.257463469805132,4
2008,11,22,0.257474213131367,4
2008,11,23,0.257474213131367,4
2008,12,0,0.257474213131367,4
2008,12,1,0.257482383049705,4
2008,12,2,0.257482383049705,4
2008,12,3,0.257482383049705,4
2008,12,4,0.256835757627159,4
2008,12,5,0.256835757627159,4
2008,12,6,0.256835757627159,4
2008,12,7,0.255727124643996,4
2008,12,8,0.255727124643996,4
2008,12,9,0.255727124643996,4
2008,12,10,0.254339608245875,4
2008,12,11,0.254339608245875,4
2008,12,12,0.254339608245875,4
2008,12,13,0.254017941385557,4
2008,12,14,0.254017941385557,4
2008,12,15,0.254017941385557,4
2008,12,16,0.253854857643317,4
2008,12,17,0.253854857643317,4
2008,12,18,0.253854857643317,4
2008,12,19,0.252649768840273,4
2008,12,20,0.252649768840273,4
2008,12,21,0.252649768840273,4
2008,12,22,0.249710199256645,4
2008,12,23,0.249710199256645,4
2008,13,0,0.249710199256645,4
2008,13,1,0.24665857311427,4
2008,13,2,0.24665857311427,4
2008,13,3,0.24665857311427,4
2008,13,4,0.244294976243114,4
2008,13,5,0.244294976243114,4
2008,13,6,0.244294976243114,4
2008,13,7,0.242483864269122,4
2008,13,8,0.242483864269122,4
2008,13,9,0.242483864269122,4
2008,13,10,0.241715860098308,4
2008,13,11,0.241715860098308,4
2008,13,12,0.241715860098308,4
2008,13,13,0.241714952427065,4
2008,13,14,0.241714952427065,4
2008,13,15,0.241714952427065,4
2008,13,16,0.241936214372415,4
2008,13,17,0.241936214372415,4
2008,13,18,0.241936214372415,4
2008,13,19,0.242127684123394,4
2008,13,20,0.242127684123394,4
2008,13,21,0.242127684123394,4
2008,13,22,0.242154187780132,4
2008,13,23,0.242154187780132,4
2008,14,0,0.242154187780132,4
2008,14,1,0.240008039842055,4
2008,14,2,0.240008039842055,4
2008,14,3,0.240008039842055,4
2008,14,4,0.237134753715198,4
2008,14,5,0.237134753715198,4
2008,14,6,0.237134753715198,4
2008,14,7,0.234677177342071,4
2008,14,8,0.234677177342071,4
2008,14,9,0.234677177342071,4
2008,14,10,0.23299947509474,4
2008,14,11,0.23299947509474,4
2008,14,12,0.23299947509474,4
2008,14,13,0.232166518953716,4
2008,14,14,0.232166518953716,4
2008,14,15,0.232166518953716,4
2008,14,16,0.231915452021609,4
2008,14,17,0.231915452021609,4
2008,14,18,0.231915452021609,4
2008,14,19,0.231229296023017,4
2008,14,20,0.231229296023017,4
2008,14,21,0.231229296023017,4
2008,14,22,0.22968228764332,4
2008,14,23,0.22968228764332,4
2008,15,0,0.22968228764332,4
2008,15,1,0.228506601146671,4
2008,15,2,0.228506601146671,4
2008,15,3,0.228506601146671,4
2008,15,4,0.227666857829947,4
2008,15,5,0.227666857829947,4
2008,15,6,0.227666857829947,4
