"year","doy","hour","solar","temp","rh","windspeed","precip","solardiff"
2002,1,0,0,-9.90733947753904,0.589775128952871,1.59712966105393,0.000148837765057882,0
2002,1,1,0,-10.5522412237051,0.879291534905749,1.59712966105393,0.000148837765057882,0
2002,1,2,0,-11.0470917381331,0.983322091719668,1.59712966105393,0.000148837765057882,0
2002,1,3,0,-11.3581677760438,1,1.59712966105393,0.000148837765057882,0
2002,1,4,0,-11.4642700195312,1,1.59712966105393,0.000148837765057882,0
2002,1,5,0,-11.3581677760438,1,1.59712966105393,0.000148837765057882,0
2002,1,6,0,-11.0470917381331,1,1.59712966105393,0.000148837765057882,0
2002,1,7,0,-10.5522412237051,1,1.59712966105393,0.000148837765057882,0
2002,1,8,229.875863734665,-9.90733947753904,1,1.59712966105393,0.000148837765057882,25.096654167472
2002,1,9,568.981624663542,-9.15633548788559,1,1.59712966105393,0.000148837765057882,36.7803820021365
2002,1,10,693.255420749368,-8.35040893554685,1,1.59712966105393,0.000148837765057882,40.3013577216263
2002,1,11,744.647485099956,-7.54448238320812,1,1.59712966105393,0.000148837765057882,41.6889507389887
2002,1,12,759.172499969296,-6.79347839355466,1,1.59712966105393,0.000148837765057882,42.0748498427983
2002,1,13,744.647485099956,-6.14857664738861,1,1.59712966105393,0.000148837765057882,41.6889507389887
2002,1,14,693.255420749368,-5.65372613296063,1,1.59712966105393,0.000148837765057882,40.3013577216263
2002,1,15,568.981624663542,-5.34265009504987,1,1.59712966105393,0.000148837765057882,36.7803820021365
2002,1,16,229.875863734665,-5.23654785156248,0.992836584660835,1.59712966105393,0.000148837765057882,25.096654167472
2002,1,17,0,-5.34265009504987,0.998902815077464,1.59712966105393,0.000148837765057882,0
2002,1,18,0,-5.65372613296063,1,1.59712966105393,0.000148837765057882,0
2002,1,19,0,-6.14857664738861,1,1.59712966105393,0.000148837765057882,0
2002,1,20,0,-6.79347839355466,1,1.59712966105393,0.000148837765057882,0
2002,1,21,0,-7.54448238320812,1,1.59712966105393,0.000148837765057882,0
2002,1,22,0,-8.35040893554685,1,1.59712966105393,0.000148837765057882,0
2002,1,23,0,-9.15633548788559,1,1.59712966105393,0.000148837765057882,0
2002,2,0,0,-8.31410827636716,1,1.7992873529703,0,0
2002,2,1,0,-9.07137404706735,1,1.7992873529703,0,0
2002,2,2,0,-9.6524445099983,1,1.7992873529703,0,0
2002,2,3,0,-10.0177206733756,1,1.7992873529703,0,0
2002,2,4,0,-10.1423095703125,1,1.7992873529703,0,0
2002,2,5,0,-10.0177206733756,1,1.7992873529703,0,0
2002,2,6,0,-9.6524445099983,1,1.7992873529703,0,0
2002,2,7,0,-9.07137404706735,1,1.7992873529703,0,0
2002,2,8,214.989503259038,-8.31410827636716,1,1.7992873529703,0,23.2536452826311
2002,2,9,525.546500687034,-7.43225360873009,1,1.7992873529703,0,33.9199442394263
2002,2,10,639.427401913475,-6.48590698242185,0.834501155032344,1.7992873529703,0,37.1439635309242
2002,2,11,686.557786056732,-5.53956035611361,0.86775859127109,1.7992873529703,0,38.4159279156375
2002,2,12,699.88252497172,-4.65770568847654,0.992530230971056,1.7992873529703,0,38.7698135137709
2002,2,13,686.557786056732,-3.90043991777635,1,1.7992873529703,0,38.4159279156375
2002,2,14,639.427401913475,-3.31936945484541,1,1.7992873529703,0,37.1439635309242
2002,2,15,525.546500687034,-2.95409329146811,1,1.7992873529703,0,33.9199442394263
2002,2,16,214.989503259038,-2.82950439453123,1,1.7992873529703,0,23.2536452826311
2002,2,17,0,-2.95409329146811,0.854788610439474,1.7992873529703,0,0
2002,2,18,0,-3.31936945484541,1,1.7992873529703,0,0
2002,2,19,0,-3.90043991777635,0.703149972938992,1.7992873529703,0,0
2002,2,20,0,-4.65770568847654,0.954119283043854,1.7992873529703,0,0
2002,2,21,0,-5.53956035611361,1,1.7992873529703,0,0
2002,2,22,0,-6.48590698242185,1,1.7992873529703,0,0
2002,2,23,0,-7.43225360873009,1,1.7992873529703,0,0
2002,3,0,0,-7.88945617675779,1,2.14185450330928,0,0
2002,3,1,0,-8.76348496856517,1,2.14185450330928,0,0
2002,3,2,0,-9.43415084878961,1,2.14185450330928,0,0
2002,3,3,0,-9.8557490460216,1,2.14185450330928,0,0
2002,3,4,0,-9.99954833984373,1,2.14185450330928,0,0
2002,3,5,0,-9.8557490460216,1,2.14185450330928,0,0
2002,3,6,0,-9.43415084878961,1,2.14185450330928,0,0
2002,3,7,0,-8.76348496856517,1,2.14185450330928,0,0
2002,3,8,237.893003514564,-7.88945617675779,1,2.14185450330928,0,25.4775107881757
2002,3,9,573.899183971221,-6.87162809112828,0.833186310597127,2.14185450330928,0,36.9790095887627
2002,3,10,697.198060049597,-5.77936401367185,0.782349725092681,2.14185450330928,0,40.4667459268293
2002,3,11,748.268570989387,-4.68709993621542,1,2.14185450330928,0,41.8443904492176
2002,3,12,762.712199969213,-3.66927185058591,1,2.14185450330928,0,42.2278464203875
2002,3,13,748.268570989387,-2.79524305877854,0.516563791737449,2.14185450330928,0,41.8443904492176
2002,3,14,697.198060049597,-2.1245771785541,0.395220558225089,2.14185450330928,0,40.4667459268293
2002,3,15,573.899183971221,-1.70297898132211,0.953266175165666,2.14185450330928,0,36.9790095887627
2002,3,16,237.893003514564,-1.55917968749998,1,2.14185450330928,0,25.4775107881757
2002,3,17,0,-1.70297898132211,1,2.14185450330928,0,0
2002,3,18,0,-2.12457717855409,1,2.14185450330928,0,0
2002,3,19,0,-2.79524305877854,1,2.14185450330928,0,0
